Amount,Time,category,state,city_pop,lat,long,merch_lat,merch_long
131.48,8717220.0,food_dining,CA,34882,34.3795,-118.523,34.253965,-118.985066
48.51,16314060.0,kids_pets,WV,16183,39.9148,-80.731,39.962369,-80.135847
54.44,2118300.0,kids_pets,MI,95,45.7549,-84.447,45.974262,-84.633201
50.76,16659240.0,kids_pets,NH,477,43.196,-72.3001,42.966233,-73.171825
39.92,13068780.0,gas_transport,MA,1506,42.5232,-72.811,43.521581,-72.246564
68.19,22476780.0,grocery_net,IL,128354,41.5378,-88.0572,42.035971,-88.66338
4.54,9231420.0,personal_care,SD,343,43.7557,-97.5936,42.963536,-98.082282
254.14,9498120.0,home,MI,6951,42.9147,-83.4845,42.948284,-84.443687
101.16,18593100.0,grocery_pos,CA,832,38.5234,-120.6763,38.119731,-121.2611
97.89,18017940.0,kids_pets,OK,551,34.847,-98.9836,34.471466,-99.749687
36.67,11845260.0,grocery_net,NC,186140,34.2651,-77.867,34.315758,-78.050947
45.38,13141080.0,gas_transport,NY,69,44.6087,-74.9732,44.192708,-75.888851
106.73,21108480.0,grocery_pos,TX,1791,31.9571,-98.9656,31.1484,-99.036135
3.26,7619760.0,entertainment,IL,3119,37.575,-88.9655,37.899379,-88.529971
115.8,551760.0,gas_transport,IN,5791,41.2244,-86.6966,41.550964,-87.420496
59.9,1463040.0,food_dining,ND,291,46.5522,-96.7909,46.143407,-97.551221
286.56,9801360.0,misc_pos,NY,4056,40.732,-73.1,41.448273,-73.316669
102.5,10124220.0,grocery_pos,PA,1472,40.3359,-79.6607,40.698976,-80.47262
65.01,9493200.0,home,ME,824,44.2541,-68.5565,44.840584,-69.265119
2.05,15344940.0,shopping_net,FL,276002,26.1184,-81.7361,25.35282,-82.289257
70.71,13437720.0,home,MI,95,45.7549,-84.447,46.184654,-83.788245
62.26,7265940.0,gas_transport,MN,346,47.0999,-96.727,47.087591,-95.945278
68.96,2032860.0,food_dining,MO,964,39.7795,-93.3014,39.697811,-93.947253
1.41,8227560.0,shopping_pos,MD,11751,39.6747,-76.8941,38.754622,-77.686751
89.8,17375580.0,food_dining,NJ,4664,40.9918,-73.98,40.725618,-73.577607
40.84,11830560.0,entertainment,WV,16183,39.9148,-80.731,40.584795,-79.858919
53.22,12649920.0,gas_transport,NY,165,42.6315,-75.1866,42.80186,-75.885844
50.72,15671340.0,gas_transport,PA,348,39.8839,-75.4669,39.820228,-75.289847
730.4,19123560.0,misc_pos,SC,333497,33.9659,-80.9355,33.117751,-81.478891
157.87,13764660.0,grocery_pos,IL,2092,39.0319,-88.4074,39.848518,-88.051384
9.11,14055660.0,shopping_pos,TX,18128,26.4215,-99.0025,26.943643,-98.773849
63.61,10157460.0,home,IA,3032,42.8511,-93.62,43.184859,-94.515858
61.26,16135740.0,kids_pets,UT,302,40.3207,-110.436,41.224098,-111.256951
124.2,641880.0,grocery_pos,IN,2304,40.8618,-85.6067,41.827395,-85.505343
11.66,15405480.0,misc_net,AL,71463,33.3224,-86.9657,33.101024,-86.146715
47.44,20404860.0,gas_transport,OK,540,34.7032,-98.9591,35.026365,-98.564568
22.29,10252140.0,kids_pets,MD,5927,38.2674,-76.4954,38.198943,-75.937673
103.27,4688640.0,food_dining,KS,409656,37.6223,-97.3136,38.436744,-96.404356
37.0,12392160.0,grocery_net,AL,1412,32.6176,-86.9475,33.385628,-86.752519
168.21,20267160.0,kids_pets,NC,3402,36.4899,-79.4736,35.615983,-80.051583
94.82,7414080.0,entertainment,FL,50835,27.4703,-81.4872,28.319974,-81.142018
